product_id,product_name,category,sub_category,brand,price,discount,final_price,stock,rating,reviews_count,supplier,country,city,warehouse_id,delivery_time_days,return_rate,is_active,launch_year,weight_kg,volume_l,color,material,warranty_years,sales_last_month,sales_last_3_months,sales_last_year,profit_margin,cost_price,revenue_last_month,revenue_last_year,views,cart_additions,wishlist_additions,conversion_rate,avg_session_time,bounce_rate,seo_score,ad_spend,ad_clicks,ad_conversions,seasonality_index,restock_frequency_days,damaged_returns,customer_complaints,net_promoter_score,supplier_rating,shipping_cost,tax_rate
11,Product_11,Electronics,Clothing,BrandB,723.64,0.34,477.6,636,2.41,3309,Supplier_3,India,London,6,4,0.04,1,2016,1.72,82.14,Black,Wood,4,507,2313,4172,0.2,587.89,78804.0,945648.0,48293,5069,9933,0.17,158.64,0.65,72,5693.05,6911,4534,0.63,25,4,178,79,4.29,13.67,0.14
12,Product_12,Sports,Electronics,BrandD,886.02,0.46,478.45,589,3.57,1964,Supplier_10,India,Berlin,5,12,0.19,0,2021,49.94,17.51,White,Plastic,4,309,849,5137,0.22,514.83,29663.9,355966.8,53830,14578,29847,0.028,146.12,0.12,71,2211.5,5027,4214,0.94,28,81,140,-57,3.02,43.67,0.25
13,Product_13,Clothing,Clothing,BrandC,309.71,0.26,229.19,685,2.66,1032,Supplier_27,UK,Mumbai,13,12,0.22,1,2011,37.1,82.74,Blue,Fabric,4,198,2741,1732,0.18,191.46,69673.76,836085.12,80207,42934,11711,0.149,37.49,0.89,89,7818.39,263,4309,0.99,54,20,29,28,3.56,7.28,0.07
14,Product_14,Electronics,Clothing,BrandD,153.91,0.13,133.9,726,1.24,4962,Supplier_8,USA,New York,5,12,0.14,0,2023,19.34,80.73,White,Wood,0,650,1776,8404,0.07,135.81,55970.2,671642.4,46926,43589,19277,0.185,225.85,0.18,90,4870.11,25,3455,0.87,26,39,28,7,3.85,1.55,0.09
15,Product_15,Clothing,Clothing,BrandD,394.96,0.27,288.32,366,2.49,1885,Supplier_33,UK,Shanghai,14,12,0.03,1,2023,19.31,12.12,Black,Wood,5,720,1399,9889,0.2,239.95,86784.32,1041411.84,81487,37872,750,0.122,66.59,0.2,72,8819.39,3059,617,0.99,29,81,177,-57,3.23,10.19,0.19
16,Product_16,Sports,Electronics,BrandA,165.21,0.36,105.73,497,1.17,1814,Supplier_32,USA,New York,16,1,0.25,1,2019,15.53,46.76,Green,Fabric,4,512,2007,9593,0.22,104.34,11418.84,137026.08,32552,46741,232,0.138,117.67,0.62,64,7777.2,6059,2507,0.82,4,76,14,-87,2.1,5.15,0.18
17,Product_17,Home,Beauty,BrandD,794.84,0.16,667.67,392,4.94,2687,Supplier_32,USA,Mumbai,17,5,0.27,0,2019,46.83,14.65,Blue,Fabric,5,888,1580,8534,0.07,445.58,152228.76,1826745.12,84765,26317,26375,0.011,228.9,0.58,97,2615.18,3016,2896,1.31,48,41,89,-21,3.76,6.77,0.08
18,Product_18,Beauty,Sports,BrandB,120.74,0.29,85.73,623,1.18,2063,Supplier_32,Germany,Berlin,2,14,0.05,0,2014,22.72,64.65,Green,Wood,1,398,597,507,0.43,65.37,13973.99,167687.88,85622,9824,18167,0.134,190.18,0.26,58,8875.53,7117,87,0.65,12,81,173,-84,4.38,40.74,0.11
19,Product_19,Electronics,Home,BrandE,385.07,0.28,277.25,832,3.46,2217,Supplier_13,India,Mumbai,15,6,0.06,0,2010,31.85,42.41,Blue,Plastic,0,658,2208,7815,0.09,304.65,67371.75,808461.0,80382,45795,21725,0.088,298.8,0.61,55,3857.38,1864,56,0.79,18,61,136,-11,2.62,40.33,0.17
20,Product_20,Electronics,Sports,BrandE,499.99,0.2,399.99,203,2.69,2452,Supplier_35,USA,Berlin,7,6,0.25,0,2011,42.87,64.4,Blue,Plastic,3,311,1439,2105,0.38,287.16,48398.79,580785.48,25400,21238,26617,0.142,138.46,0.57,57,4378.1,4164,2086,1.05,41,71,133,-11,3.89,31.17,0.1
21,Product_21,Electronics,Electronics,BrandE,544.92,0.25,408.69,642,4.13,1587,Supplier_3,China,London,8,5,0.11,0,2025,12.83,15.93,Blue,Wood,2,821,1427,9690,0.27,353.6,72338.13,868057.56,7805,2097,2254,0.123,63.47,0.47,63,7461.53,9074,3677,0.84,32,34,142,18,4.38,48.35,0.15
22,Product_22,Sports,Home,BrandC,87.45,0.32,59.47,902,2.45,4858,Supplier_43,India,New York,11,9,0.1,0,2023,27.61,9.91,White,Wood,3,699,421,8612,0.34,50.98,11596.65,139159.8,25547,32182,13789,0.109,173.8,0.15,81,1393.93,8347,4986,1.34,39,43,118,15,1.74,39.3,0.14
23,Product_23,Electronics,Home,BrandD,472.57,0.47,250.46,177,1.35,526,Supplier_43,UK,Shanghai,11,7,0.18,1,2022,34.0,40.35,White,Wood,2,76,1609,8707,0.39,308.62,48589.24,583070.88,73192,38539,15360,0.193,281.33,0.57,91,9795.71,7483,128,1.23,26,80,93,76,3.56,21.48,0.21
24,Product_24,Beauty,Clothing,BrandA,283.03,0.49,144.35,500,1.77,726,Supplier_31,India,Mumbai,17,3,0.11,1,2013,38.32,89.39,Blue,Fabric,5,398,2501,9125,0.3,168.38,31179.6,374155.2,99973,30948,28557,0.081,102.48,0.34,54,1749.56,7265,3029,1.44,46,30,94,-98,4.33,23.1,0.11
25,Product_25,Toys,Beauty,BrandD,290.8,0.02,284.98,245,3.58,2432,Supplier_8,China,New York,3,6,0.25,0,2019,30.58,8.72,Blue,Wood,1,414,1853,6917,0.29,214.65,107722.44,1292669.28,86987,44493,25107,0.073,36.46,0.31,99,7964.1,6267,2433,0.51,22,63,141,85,3.28,18.09,0.21
26,Product_26,Sports,Toys,BrandD,333.41,0.17,276.73,133,4.66,4456,Supplier_25,UK,Shanghai,5,3,0.19,0,2013,6.75,50.4,Green,Wood,5,432,1529,1119,0.33,221.67,62817.71,753812.52,25659,23176,20822,0.076,260.25,0.1,91,4740.75,5755,315,0.67,7,56,149,-64,4.87,2.65,0.05
27,Product_27,Sports,Clothing,BrandC,45.94,0.37,28.94,571,1.07,3272,Supplier_47,UK,Shanghai,14,14,0.17,0,2015,22.91,86.92,Red,Plastic,3,649,2211,836,0.26,35.67,12473.14,149677.68,31104,4229,29778,0.08,110.25,0.67,91,7184.28,5312,1745,0.79,2,93,2,-99,2.76,3.28,0.13
28,Product_28,Electronics,Beauty,BrandE,383.08,0.28,275.82,172,1.09,3172,Supplier_9,India,Mumbai,9,11,0.14,1,2018,8.97,30.46,Blue,Metal,1,572,1276,9613,0.32,336.07,136806.72,1641680.64,83866,13759,20604,0.173,46.59,0.85,78,1819.22,7259,1668,0.75,17,46,50,100,2.91,46.51,0.21
29,Product_29,Home,Toys,BrandB,964.87,0.37,607.87,319,2.12,467,Supplier_2,China,New York,20,4,0.2,0,2014,21.49,66.96,White,Plastic,3,350,2219,9406,0.3,644.35,266854.93,3202259.16,45072,16097,26093,0.194,104.42,0.45,97,7436.97,4187,4912,0.73,30,16,19,-76,1.21,32.83,0.16
30,Product_30,Toys,Sports,BrandB,338.46,0.47,179.38,154,3.73,3497,Supplier_8,Germany,New York,1,4,0.21,0,2025,1.19,75.76,White,Wood,5,787,1255,5628,0.47,260.0,47894.46,574733.52,31999,11307,14577,0.08,25.28,0.29,55,1896.48,7613,2009,0.64,49,53,148,-12,1.47,9.39,0.12
31,Product_31,Sports,Clothing,BrandD,134.4,0.45,73.92,219,3.92,515,Supplier_9,India,Shanghai,8,14,0.28,1,2022,38.27,99.45,Black,Fabric,5,309,17,3241,0.45,102.73,31194.24,374330.88,18652,47467,26696,0.182,185.97,0.42,72,4459.54,3993,4042,1.1,29,85,173,95,4.89,11.5,0.23
32,Product_32,Sports,Home,BrandE,894.68,0.38,554.7,917,2.33,4687,Supplier_6,China,Berlin,9,4,0.15,1,2021,44.11,89.96,Green,Plastic,0,29,2896,8299,0.34,616.82,67673.4,812080.8,43036,25479,23997,0.164,178.21,0.75,89,9688.69,5326,1686,0.59,3,50,186,61,4.33,12.84,0.1
33,Product_33,Home,Toys,BrandC,631.5,0.43,359.96,812,3.12,19,Supplier_24,UK,New York,18,4,0.2,0,2019,0.63,15.28,White,Plastic,2,880,1924,4567,0.37,511.25,139664.48,1675973.76,3853,10446,19200,0.151,42.77,0.34,82,4014.9,9316,127,1.05,7,25,175,39,3.04,41.7,0.23
34,Product_34,Sports,Beauty,BrandA,505.0,0.12,444.4,929,3.2,2263,Supplier_27,USA,London,20,12,0.26,1,2025,42.17,51.5,Black,Wood,1,218,1526,3427,0.23,283.75,218200.4,2618404.8,64073,7640,17731,0.078,237.04,0.27,78,7812.61,7621,2912,0.84,60,35,19,92,1.41,49.29,0.24
35,Product_35,Home,Toys,BrandC,201.19,0.47,106.63,145,1.59,2468,Supplier_6,UK,London,8,5,0.19,1,2015,19.47,81.59,White,Plastic,1,26,2147,2883,0.13,158.21,50969.14,611629.68,97950,48826,13733,0.062,174.08,0.51,59,1898.23,1573,4008,0.75,46,72,51,-91,4.2,38.25,0.2
36,Product_36,Beauty,Beauty,BrandA,633.44,0.4,380.06,3,2.71,3808,Supplier_49,USA,Shanghai,8,8,0.28,1,2017,6.11,1.99,White,Metal,2,856,2676,5260,0.43,450.25,161905.56,1942866.72,82283,48017,28361,0.181,244.49,0.42,73,1342.18,8255,220,0.68,16,95,187,12,4.38,12.72,0.1
37,Product_37,Electronics,Clothing,BrandD,547.76,0.2,438.21,523,2.14,254,Supplier_32,India,Shanghai,9,5,0.28,1,2023,8.1,7.48,Blue,Wood,4,708,635,7620,0.23,301.79,48203.1,578437.2,581,43485,194,0.163,115.11,0.48,57,935.34,7514,4654,1.41,57,38,145,79,1.12,26.09,0.14
38,Product_38,Home,Clothing,BrandA,767.69,0.01,760.01,404,1.23,2763,Supplier_13,China,Mumbai,1,9,0.24,1,2013,40.98,40.16,Blue,Wood,2,715,2390,506,0.44,534.61,345044.54,4140534.48,99574,39062,24197,0.147,205.42,0.59,57,3444.36,7641,1689,1.06,46,95,73,-16,1.65,23.52,0.23
39,Product_39,Electronics,Clothing,BrandD,21.32,0.16,17.91,344,2.32,543,Supplier_25,India,Berlin,6,10,0.04,1,2014,13.62,81.68,Green,Metal,1,7,1151,3873,0.45,15.1,3367.08,40404.96,6208,11127,1453,0.192,274.01,0.32,87,1757.94,1880,4395,1.13,34,4,154,27,4.96,12.6,0.13
40,Product_40,Toys,Electronics,BrandE,73.49,0.06,69.08,294,3.15,4102,Supplier_17,USA,Berlin,8,4,0.26,1,2014,42.39,27.87,Black,Fabric,3,50,2405,5881,0.28,44.79,828.96,9947.52,29615,40619,1612,0.115,67.08,0.3,85,8260.5,9196,3370,0.6,7,20,184,-62,1.6,15.16,0.17
41,Product_41,Sports,Clothing,BrandB,628.67,0.36,402.35,544,3.83,2538,Supplier_15,India,Berlin,12,12,0.03,1,2011,24.39,64.51,Blue,Wood,4,315,1595,7924,0.41,318.31,11668.15,140017.8,83414,11686,26038,0.047,38.02,0.59,54,1560.58,8117,983,0.78,29,47,116,-59,4.18,5.94,0.09
42,Product_42,Electronics,Electronics,BrandD,872.21,0.06,819.88,680,4.6,4335,Supplier_40,China,New York,12,8,0.08,1,2024,20.31,19.12,Blue,Metal,1,633,2475,8935,0.4,499.42,404200.84,4850410.08,65732,12082,10262,0.026,133.39,0.68,63,2195.87,38,4112,1.05,25,93,27,61,4.6,13.63,0.21
43,Product_43,Toys,Sports,BrandC,134.32,0.07,124.92,260,3.01,1032,Supplier_19,India,Shanghai,10,10,0.2,0,2018,13.15,66.07,Green,Wood,4,427,2776,4951,0.33,111.46,2998.08,35976.96,28731,28625,22409,0.129,120.95,0.41,74,7036.2,4495,4716,0.71,11,56,87,62,1.96,38.15,0.12
44,Product_44,Beauty,Sports,BrandE,842.31,0.28,606.46,660,3.62,2682,Supplier_18,India,Shanghai,4,13,0.15,1,2020,22.49,75.13,Red,Fabric,3,613,1459,9483,0.45,501.49,187396.14,2248753.68,29400,25217,6003,0.032,123.93,0.18,98,2795.65,3759,2922,1.31,57,73,84,34,1.66,40.54,0.21
45,Product_45,Home,Toys,BrandD,718.67,0.15,610.87,401,3.8,1184,Supplier_46,UK,Mumbai,5,10,0.16,1,2024,6.36,17.24,White,Fabric,5,984,2465,4970,0.13,615.94,80634.84,967618.08,15561,31925,27131,0.117,183.39,0.72,82,4907.19,2101,2144,0.88,32,83,135,89,3.57,43.71,0.17
46,Product_46,Sports,Home,BrandB,250.6,0.5,125.3,375,4.44,3808,Supplier_39,India,Berlin,7,6,0.14,1,2013,24.55,43.26,Black,Metal,3,247,46,2363,0.15,213.91,49994.7,599936.4,78349,11335,118,0.14,261.14,0.17,78,3406.17,8130,3254,0.54,18,54,32,79,2.58,4.44,0.1
47,Product_47,Home,Sports,BrandB,383.33,0.35,249.16,296,1.14,2255,Supplier_48,Germany,Mumbai,16,11,0.04,1,2021,42.35,74.51,Black,Plastic,3,654,2166,8249,0.16,342.33,104148.88,1249786.56,24235,35423,17579,0.074,143.94,0.73,71,7975.12,9685,1525,1.28,14,96,124,72,1.81,28.48,0.18
48,Product_48,Home,Home,BrandD,845.4,0.42,490.33,2,3.07,4766,Supplier_45,UK,London,14,7,0.22,1,2025,17.33,56.7,White,Plastic,3,284,152,2321,0.17,748.76,88259.4,1059112.8,36706,1441,20382,0.176,255.04,0.13,95,4742.85,2610,914,0.81,55,18,64,-62,3.06,9.83,0.08
49,Product_49,Beauty,Beauty,BrandE,698.24,0.27,509.72,224,4.26,1880,Supplier_40,UK,Mumbai,10,10,0.06,0,2018,11.42,87.88,White,Metal,2,383,123,4545,0.33,491.78,150367.4,1804408.8,50671,34344,4476,0.199,151.85,0.25,90,343.5,9606,800,0.73,8,63,188,62,3.12,33.15,0.22
50,Product_50,Clothing,Sports,BrandA,601.29,0.45,330.71,526,4.47,1767,Supplier_23,UK,Berlin,6,6,0.24,0,2018,0.46,96.81,Blue,Wood,0,660,1575,4695,0.07,407.74,75732.59,908791.08,91513,40832,18646,0.079,286.33,0.32,70,2807.45,3123,1041,1.48,51,34,168,-13,1.18,3.59,0.25
51,Product_51,Toys,Home,BrandC,87.34,0.33,58.52,825,4.93,4733,Supplier_1,USA,Mumbai,5,10,0.01,1,2025,14.18,72.41,Red,Metal,5,583,579,3621,0.23,71.16,6086.08,73032.96,98282,15279,18076,0.086,251.43,0.76,98,7990.45,2846,1388,1.17,52,6,94,-3,3.59,18.34,0.12
52,Product_52,Sports,Beauty,BrandA,709.06,0.14,609.79,327,3.23,2828,Supplier_4,India,Berlin,3,4,0.04,1,2021,24.14,73.75,White,Plastic,1,829,690,4526,0.24,563.51,302455.84,3629470.08,74447,9567,6419,0.187,71.99,0.78,89,9329.59,1578,1809,1.3,51,29,93,-17,1.16,45.19,0.22
53,Product_53,Toys,Sports,BrandE,878.42,0.44,491.92,384,2.49,2596,Supplier_50,Germany,Berlin,14,6,0.21,0,2011,28.08,29.01,Red,Plastic,0,689,89,5834,0.22,702.89,111665.84,1339990.08,67448,44154,2660,0.13,119.36,0.65,86,5247.7,5309,3738,0.92,28,38,154,84,3.48,10.53,0.09
54,Product_54,Home,Clothing,BrandE,368.22,0.26,272.48,286,2.9,1445,Supplier_32,India,Mumbai,13,6,0.06,1,2015,6.35,66.62,Black,Plastic,2,427,1430,4706,0.41,184.41,14441.44,173297.28,70449,11680,28340,0.181,60.24,0.53,77,720.92,8481,4287,1.47,7,10,14,26,1.79,48.0,0.1
55,Product_55,Toys,Clothing,BrandA,335.73,0.1,302.16,258,3.21,3921,Supplier_11,India,Shanghai,7,12,0.2,1,2020,14.89,95.17,Red,Plastic,2,970,547,2574,0.25,190.22,3625.92,43511.04,94732,25204,6815,0.091,59.03,0.13,98,6501.51,5110,4929,1.06,49,10,197,-87,1.6,14.08,0.12
56,Product_56,Sports,Toys,BrandD,63.36,0.05,60.19,216,3.58,130,Supplier_25,USA,London,20,7,0.03,0,2023,5.6,51.16,Green,Metal,1,331,1554,9247,0.34,50.87,5718.05,68616.6,7219,2390,7973,0.059,288.31,0.85,94,2953.66,7456,2879,0.93,40,61,39,36,3.55,22.35,0.24
57,Product_57,Clothing,Toys,BrandC,326.3,0.38,202.31,102,3.12,448,Supplier_5,Germany,Berlin,14,14,0.14,0,2023,4.02,76.06,Green,Wood,0,373,1568,799,0.07,235.01,16387.11,196645.32,79917,29627,28201,0.15,103.58,0.3,73,4923.77,5329,4019,0.76,7,60,161,-85,4.88,41.96,0.12
58,Product_58,Clothing,Home,BrandC,319.43,0.27,233.18,255,2.71,4860,Supplier_28,USA,London,4,11,0.15,1,2019,32.25,5.79,White,Metal,3,682,1452,6941,0.34,287.13,9793.56,117522.72,55396,8478,13907,0.126,108.86,0.26,98,8678.22,1348,1179,0.59,46,85,77,1,3.18,6.52,0.23
59,Product_59,Electronics,Toys,BrandB,123.11,0.12,108.34,242,3.3,1449,Supplier_33,China,Mumbai,5,8,0.29,1,2021,31.25,49.12,White,Wood,5,414,474,9218,0.15,98.39,15275.94,183311.28,1844,26575,652,0.068,252.15,0.56,75,5309.19,3287,1378,0.71,18,5,81,-54,3.73,23.05,0.16
60,Product_60,Beauty,Clothing,BrandD,845.77,0.46,456.72,191,2.57,3433,Supplier_48,Germany,Mumbai,8,6,0.12,1,2016,17.18,23.14,Black,Plastic,2,930,2644,5528,0.25,596.69,24662.88,295954.56,91522,43387,9302,0.117,211.83,0.8,80,4913.88,3291,1146,0.84,46,81,54,-55,3.78,9.21,0.16
61,Product_61,Beauty,Toys,BrandB,761.42,0.13,662.44,790,3.62,3444,Supplier_33,China,New York,20,11,0.21,1,2024,18.96,56.83,White,Fabric,5,426,2423,9054,0.41,597.3,167597.32,2011167.84,61240,32739,22505,0.019,160.51,0.51,87,5862.23,5659,4673,1.24,59,45,81,-10,4.5,39.9,0.06
62,Product_62,Home,Beauty,BrandC,141.02,0.38,87.43,577,1.3,3445,Supplier_23,USA,Berlin,1,14,0.3,0,2013,25.99,68.27,White,Plastic,5,576,13,2781,0.15,80.28,34185.13,410221.56,76679,123,2977,0.04,174.48,0.21,61,3527.32,4735,4435,1.28,55,30,186,87,3.62,10.95,0.09
63,Product_63,Electronics,Sports,BrandE,701.66,0.2,561.33,194,1.32,3769,Supplier_22,Germany,New York,5,5,0.0,0,2015,24.8,97.04,Red,Fabric,2,100,106,2353,0.16,500.76,48274.38,579292.56,74371,15831,551,0.023,292.41,0.45,100,9056.26,4032,2010,0.96,42,44,124,93,2.89,17.13,0.1
64,Product_64,Beauty,Electronics,BrandC,416.98,0.03,404.47,713,4.29,459,Supplier_4,Germany,Shanghai,10,4,0.03,0,2022,6.19,41.37,Red,Wood,3,729,417,9838,0.44,299.61,15369.86,184438.32,67269,23475,11355,0.053,258.52,0.68,83,4952.8,3879,4007,0.59,27,99,187,80,3.06,7.74,0.13
65,Product_65,Electronics,Clothing,BrandA,568.19,0.38,352.28,354,4.3,4821,Supplier_39,China,Shanghai,9,9,0.29,1,2013,8.39,26.31,Black,Metal,2,734,1949,6846,0.24,387.04,67990.04,815880.48,9891,31408,26178,0.041,261.31,0.52,92,2858.45,9229,2711,1.22,22,54,57,40,1.55,14.15,0.07
66,Product_66,Clothing,Electronics,BrandE,116.95,0.31,80.7,277,2.9,2435,Supplier_43,UK,Mumbai,2,5,0.02,0,2022,11.33,92.83,Red,Fabric,5,605,637,9952,0.32,78.84,8231.4,98776.8,68297,4519,19134,0.173,70.57,0.73,54,7833.89,9565,947,0.68,3,77,1,-62,2.36,9.67,0.09
67,Product_67,Home,Beauty,BrandD,480.73,0.26,355.74,583,1.83,4837,Supplier_49,USA,London,8,6,0.01,0,2017,19.14,16.5,Red,Fabric,0,318,101,25,0.37,334.04,78262.8,939153.6,50525,23706,27431,0.084,162.59,0.8,88,3647.08,9222,1087,1.14,14,18,80,-72,2.56,16.8,0.17
68,Product_68,Electronics,Home,BrandA,558.82,0.13,486.17,256,1.03,1545,Supplier_21,China,Berlin,16,3,0.27,0,2013,13.29,92.33,Black,Wood,5,536,2062,2331,0.14,314.9,28684.03,344208.36,35124,10604,23729,0.059,99.83,0.69,83,6081.11,7819,4834,1.44,16,59,14,97,2.0,47.05,0.05
69,Product_69,Clothing,Clothing,BrandD,975.19,0.21,770.4,334,4.73,1902,Supplier_2,UK,Mumbai,12,2,0.15,0,2013,20.86,90.8,Green,Wood,4,609,863,923,0.4,847.75,100922.4,1211068.8,59893,33025,9690,0.056,242.04,0.6,62,9385.74,1024,3276,0.53,44,98,3,32,4.25,10.77,0.23
70,Product_70,Electronics,Clothing,BrandB,566.57,0.14,487.25,39,1.11,1390,Supplier_49,USA,Berlin,18,10,0.18,0,2022,9.55,83.1,Black,Wood,4,725,1603,5009,0.41,491.85,40441.75,485301.0,51686,40935,12047,0.169,69.88,0.38,71,4187.03,7615,3214,0.57,46,21,80,-76,4.99,38.48,0.12
71,Product_71,Sports,Electronics,BrandB,881.85,0.24,670.21,169,4.67,3904,Supplier_6,USA,Berlin,19,11,0.04,1,2012,30.5,68.32,Green,Wood,0,331,393,4869,0.17,648.17,251328.75,3015945.0,54703,15864,2908,0.059,290.68,0.3,97,3626.06,3646,4736,0.98,47,56,47,66,3.61,11.94,0.13
72,Product_72,Electronics,Electronics,BrandE,771.68,0.16,648.21,864,1.1,2112,Supplier_34,China,London,1,4,0.0,0,2020,45.42,92.2,Black,Fabric,3,244,1425,2109,0.09,622.24,250857.27,3010287.24,82512,12311,21086,0.191,69.3,0.72,99,5984.89,1055,3905,0.85,23,4,31,99,1.43,41.34,0.07
73,Product_73,Home,Clothing,BrandA,477.42,0.17,396.26,917,2.58,4177,Supplier_38,UK,New York,11,2,0.02,1,2025,6.98,84.41,Red,Metal,2,983,2512,5435,0.36,351.59,24568.12,294817.44,53675,19272,12610,0.165,221.97,0.35,51,5488.33,7729,4201,1.22,16,60,196,69,4.12,6.12,0.23
74,Product_74,Clothing,Electronics,BrandE,488.59,0.33,327.36,833,2.82,2497,Supplier_50,USA,New York,2,2,0.11,1,2010,5.52,91.09,Green,Plastic,0,644,917,2889,0.39,373.34,40265.28,483183.36,63382,9605,29709,0.123,55.98,0.11,59,2615.81,4057,186,1.44,35,91,116,6,4.99,35.69,0.09
75,Product_75,Electronics,Home,BrandD,341.55,0.3,239.08,943,2.13,2931,Supplier_30,China,Berlin,11,10,0.29,0,2024,6.13,83.86,Blue,Fabric,3,102,2727,143,0.2,223.61,78896.4,946756.8,59110,44298,3570,0.194,278.04,0.66,98,8578.41,8394,3716,0.71,27,71,56,87,1.48,47.02,0.07
76,Product_76,Toys,Home,BrandE,639.38,0.3,447.57,702,3.57,2261,Supplier_16,UK,Mumbai,5,10,0.02,1,2010,43.87,23.53,Red,Wood,2,743,51,6097,0.44,559.9,36253.17,435038.04,34723,27708,775,0.014,201.34,0.16,78,4906.31,9584,2558,1.2,54,13,116,-8,2.85,33.47,0.2
77,Product_77,Electronics,Electronics,BrandD,250.17,0.15,212.64,711,2.45,3114,Supplier_25,China,Berlin,17,11,0.26,0,2016,15.01,2.34,Red,Metal,2,924,1543,8086,0.18,194.51,51246.24,614954.88,21473,46486,28940,0.017,294.31,0.48,86,3707.42,2727,3440,0.55,23,39,70,-57,1.11,24.63,0.11
78,Product_78,Home,Sports,BrandC,9.83,0.17,8.16,430,2.71,3651,Supplier_36,UK,Berlin,9,13,0.11,1,2014,18.03,79.0,White,Metal,0,468,726,4723,0.21,4.96,1509.6,18115.2,96242,32389,4916,0.143,152.55,0.13,76,1293.61,5953,4808,0.95,38,31,191,75,2.63,14.24,0.13
79,Product_79,Sports,Home,BrandD,764.39,0.12,672.66,289,2.13,1258,Supplier_31,China,New York,12,10,0.19,1,2022,31.11,45.89,Blue,Plastic,3,399,34,8406,0.24,504.53,260992.08,3131904.96,88603,37071,28636,0.106,96.44,0.43,62,8489.65,6839,222,0.94,43,14,164,-23,1.93,38.13,0.11
